ORGID,ORGNAME,STATUSCODE,UPDATETIME
307230000NUE20000,合作金庫商業銀行二重分行,T,2018-12-21 17:27:02
307230000NUXY0000,合作金庫商業銀行中港分行,T,2018-12-21 17:27:06
307230000NUY00000,合作金庫商業銀行忠明南路分行,T,2018-12-21 17:27:06
307230000NUF10000,合作金庫商業銀行龍潭分行,T,2018-12-21 17:27:03
307230000NU430000,合作金庫商業銀行法人金融部,T,2018-12-21 17:27:01
307230000NUW30000,合作金庫商業銀行岡山分行,T,2018-12-21 17:27:05
307230000NUZI0000,合作金庫商業銀行大華分行,T,2018-12-21 17:27:06
307230000NUXH0000,合作金庫商業銀行東竹北分行,T,2018-12-21 17:27:05
307230000NUXR0000,合作金庫商業銀行大直分行,T,2018-12-21 17:27:05
307230000NUV30000,合作金庫商業銀行憲德分行,T,2018-12-21 17:27:05
307230000NUZK0000,合作金庫商業銀行社皮分行,T,2018-12-21 17:27:06
307230000NUX70000,合作金庫商業銀行五股工業區分行,T,2018-12-21 17:27:05
307230000NUZM0000,合作金庫商業銀行下蚶辦事處,T,2018-12-21 17:27:06
307230000NUJ90000,合作金庫商業銀行丹鳳分行,T,2018-12-21 17:27:03
307230000NUZN0000,合作金庫商業銀行新樹分行,T,2018-12-21 17:27:06
307230000NUT90000,合作金庫商業銀行苓雅分行,T,2018-12-21 17:27:04
307230000NU7A0000,合作金庫商業銀行國際金融業務分行,T,2018-12-21 17:27:02
307230000NUX50000,合作金庫商業銀行泰山分行,T,2018-12-21 17:27:05
307230000NUZH0000,合作金庫商業銀行仁美分行,T,2018-12-21 17:27:06
307230000NUWS0000,合作金庫商業銀行板新分行,T,2018-12-21 17:27:05
307230000NU1D0000,合作金庫商業銀行大坪林分行,T,2018-12-21 17:27:01
307230000NU9A0000,合作金庫商業銀行職工福利社,T,2018-12-21 17:27:02
307230000NUJ30000,合作金庫商業銀行逢甲分行,T,2018-12-21 17:27:03
307230000NU1A0000,合作金庫商業銀行信託部,T,2018-12-21 17:27:01
307230000NUM70000,合作金庫商業銀行虎尾分行,T,2018-12-21 17:27:04
307230000N,合作金庫商業銀行,T,2018-12-21 17:27:01
307230000NUH50000,合作金庫商業銀行雙連分行,T,2018-12-21 17:27:03
307230000NUA10000,合作金庫商業銀行延平分行,T,2018-12-21 17:27:02
307230000NUYT0000,合作金庫商業銀行北朴子分行,T,2018-12-21 17:27:06
307230000NU120000,合作金庫商業銀行洛杉磯分行,T,2020-06-23 17:09:24
307230000NUH60000,合作金庫商業銀行民生分行,T,2018-12-21 17:27:03
307230000NUJ00000,合作金庫商業銀行南桃園分行,T,2018-12-21 17:27:03
307230000NUYS0000,合作金庫商業銀行東台東分行,T,2018-12-21 17:27:06
307230000NU210000,合作金庫商業銀行天津分行,T,2020-06-23 17:05:15
307230000NUZS0000,合作金庫商業銀行大雅分行,T,2018-12-21 17:27:06
307230000NUT80000,合作金庫商業銀行北高雄分行,T,2018-12-21 17:27:04
307230000NUN00000,合作金庫商業銀行溪湖分行,T,2018-12-21 17:27:04
307230000NUJ80000,合作金庫商業銀行新湖分行,T,2018-12-21 17:27:03
307230000NUH70000,合作金庫商業銀行新生分行,T,2018-12-21 17:27:03
307230000NUXX0000,合作金庫商業銀行新中分行,T,2018-12-21 17:27:05
307230000NUN20000,合作金庫商業銀行北台中分行,T,2018-12-21 17:27:04
307230000NUG90000,合作金庫商業銀行玉成分行,T,2018-12-21 17:27:03
307230000NUF50000,合作金庫商業銀行平鎮分行,T,2018-12-21 17:27:03
307230000NU130000,合作金庫商業銀行馬尼拉分行,T,2020-06-23 17:08:55
307230000NUH80000,合作金庫商業銀行松江分行,T,2018-12-21 17:27:03
307230000NU220000,合作金庫商業銀行金邊德他拉支行,T,2020-06-23 17:04:40
307230000NUZ20000,合作金庫商業銀行楠梓分行,T,2018-12-21 17:27:06
307230000NUDA0000,合作金庫商業銀行樹林分行,T,2018-12-21 17:27:02
307230000NUZY0000,合作金庫商業銀行鼓山分行,T,2018-12-21 17:27:06
307230000NU110000,合作金庫商業銀行西雅圖分行,T,2020-06-23 17:09:55
307230000NUF20000,合作金庫商業銀行中原分行,T,2018-12-21 17:27:03
307230000NUC70000,合作金庫商業銀行三重分行,T,2018-12-21 17:27:02
307230000NUF90000,合作金庫商業銀行竹北分行,T,2018-12-21 17:27:03
307230000NUYK0000,合作金庫商業銀行開元分行,T,2018-12-21 17:27:06
307230000NUH10000,合作金庫商業銀行長安分行,T,2018-12-21 17:27:03
307230000NU240000,合作金庫商業銀行福州分行,T,2020-06-23 17:03:29
307230000NUM60000,合作金庫商業銀行西臺中分行,T,2018-12-21 17:27:04
307230000NUYP0000,合作金庫商業銀行十全分行,T,2018-12-21 17:27:06
307230000NUG20000,合作金庫商業銀行東臺北分行,T,2018-12-21 17:27:03
307230000NUYQ0000,合作金庫商業銀行九如分行,T,2018-12-21 17:27:06
307230000NUYR0000,合作金庫商業銀行小港分行,T,2018-12-21 17:27:06
307230000NUA50000,合作金庫商業銀行南京東路分行,T,2018-12-21 17:27:02
307230000NUW40000,合作金庫商業銀行鳳山分行,T,2018-12-21 17:27:05
307230000NUD20000,合作金庫商業銀行南勢角分行,T,2018-12-21 17:27:02
307230000NUG40000,合作金庫商業銀行建國分行,T,2018-12-21 17:27:03
307230000NUH90000,合作金庫商業銀行永吉分行,T,2018-12-21 17:27:03
307230000NUG50000,合作金庫商業銀行圓山分行,T,2018-12-21 17:27:03
307230000NUXW0000,合作金庫商業銀行港湖分行,T,2018-12-21 17:27:05
307230000NU9A1000,合作金庫商業銀行職工福利委員會,T,2018-12-21 17:27:02
307230000NU360000,合作金庫商業銀行休士頓分行,T,2020-06-23 16:54:00
307230000NUH20000,合作金庫商業銀行松興分行,T,2018-12-21 17:27:03
307230000NUD00000,合作金庫商業銀行中和分行,T,2018-12-21 17:27:02
307230000NUM40000,合作金庫商業銀行彰營分行,T,2018-12-21 17:27:04
307230000NUL40000,合作金庫商業銀行埔里分行,T,2018-12-21 17:27:04
307230000NUL00000,合作金庫商業銀行南豐原分行,T,2018-12-21 17:27:04
307230000NUXF0000,合作金庫商業銀行楊梅分行,T,2018-12-21 17:27:05
307230000NUM30000,合作金庫商業銀行北嘉義分行,T,2018-12-21 17:27:04
307230000NUA00000,合作金庫商業銀行館前分行,T,2018-12-21 17:27:02
307230000NUM50000,合作金庫商業銀行彰儲分行,T,2018-12-21 17:27:04
307230000NUZU0000,合作金庫商業銀行八德分行,T,2018-12-21 17:27:06
307230000NUXA0000,合作金庫商業銀行東桃園分行,T,2018-12-21 17:27:05
307230000NUA40000,合作金庫商業銀行景美分行,T,2018-12-21 17:27:02
307230000NULA0000,合作金庫商業銀行伸港分行,T,2018-12-21 17:27:04
307230000NUD10000,合作金庫商業銀行東三重分行,T,2018-12-21 17:27:02
307230000NUQ70000,合作金庫商業銀行中清分行,T,2018-12-21 17:27:04
307230000NUU30000,合作金庫商業銀行大竹分行,T,2018-12-21 17:27:05
307230000NUR00000,合作金庫商業銀行建成分行,T,2018-12-21 17:27:04
307230000NU3A0000,合作金庫商業銀行個人金融部,T,2018-12-21 17:27:01
307230000NUY70000,合作金庫商業銀行集集分行,T,2018-12-21 17:27:06
307230000NU1B0000,合作金庫商業銀行南港分行,T,2018-12-21 17:27:01
307230000NUO80000,合作金庫商業銀行南區區域中心,T,2018-12-21 17:27:04
307230000NU350000,合作金庫商業銀行金邊堆谷支行,T,2020-06-23 16:54:29
307230000NUX80000,合作金庫商業銀行北羅東分行,T,2018-12-21 17:27:05
307230000NU260000,合作金庫商業銀行紐約分行,T,2020-06-23 17:02:22
307230000NUP40000,合作金庫商業銀行中權分行,T,2018-12-21 17:27:04
307230000NUC00000,合作金庫商業銀行復旦分行,T,2018-12-21 17:27:02
307230000NUP70000,合作金庫商業銀行太原分行,T,2018-12-21 17:27:04
307230000NU190000,合作金庫商業銀行金邊分行,T,2020-06-23 17:06:10
307230000NUWJ0000,合作金庫商業銀行西湖分行,T,2018-12-21 17:27:05
307230000NU830000,合作金庫商業銀行法律事務部,T,2018-12-21 17:27:02
307230000NUY80000,合作金庫商業銀行東埔里分行,T,2018-12-21 17:27:06
307230000NU290000,合作金庫商業銀行墨爾本分行,T,2020-06-23 16:57:08
307230000NUJ20000,合作金庫商業銀行立德分行,T,2018-12-21 17:27:03
307230000NUF80000,合作金庫商業銀行北新竹分行,T,2018-12-21 17:27:03
307230000NUJ70000,合作金庫商業銀行北中和分行,T,2018-12-21 17:27:03
307230000NU280000,合作金庫商業銀行長沙分行,T,2020-06-23 16:57:41
307230000NUW00000,合作金庫商業銀行新營分行,T,2018-12-21 17:27:05
307230000NU140000,合作金庫商業銀行香港分行,T,2020-06-23 17:08:29
307230000NUJ10000,合作金庫商業銀行林園分行,T,2018-12-21 17:27:03
307230000NU160000,合作金庫商業銀行臺灣聯合銀行,T,2020-06-23 17:07:35
307230000NUK00000,合作金庫商業銀行臺中分行,T,2018-12-21 17:27:03
307230000NUY30000,合作金庫商業銀行豐中分行,T,2018-12-21 17:27:06
307230000NUO20000,合作金庫商業銀行桃竹苗區區域中心,T,2018-12-21 17:27:04
307230000NUZR0000,合作金庫商業銀行六家分行,T,2018-12-21 17:27:06
307230000NUB20000,合作金庫商業銀行忠孝分行,T,2018-12-21 17:27:02
307230000NU330000,合作金庫商業銀行金邊永盛支行,T,2020-06-23 16:55:32
307230000NUJ50000,合作金庫商業銀行高雄科技園區分行,T,2018-12-21 17:27:03
307230000NU150000,合作金庫商業銀行北京代表人辦事處,T,2020-06-23 17:07:59
307230000NUV70000,合作金庫商業銀行光華分行,T,2018-12-21 17:27:05
307230000NU530000,合作金庫商業銀行債權管理部,T,2018-12-21 17:27:02
307230000NUC10000,合作金庫商業銀行臺大分行,T,2018-12-21 17:27:02
307230000NUM80000,合作金庫商業銀行南屯分行,T,2018-12-21 17:27:04
307230000NUM90000,合作金庫商業銀行和美分行,T,2018-12-21 17:27:04
307230000NUE90000,合作金庫商業銀行大溪分行,T,2018-12-21 17:27:03
307230000NU910000,合作金庫商業銀行會計部,T,2018-12-21 17:27:02
307230000NUE40000,合作金庫商業銀行宜蘭分行,T,2018-12-21 17:27:02
307230000NUH40000,合作金庫商業銀行復興分行,T,2018-12-21 17:27:03
307230000NUV80000,合作金庫商業銀行大順分行,T,2018-12-21 17:27:05
307230000NUXC0000,合作金庫商業銀行南崁分行,T,2018-12-21 17:27:05
307230000NUK50000,合作金庫商業銀行南臺中分行,T,2018-12-21 17:27:04
307230000NU6A0000,合作金庫商業銀行國外部,T,2018-12-21 17:27:02
307230000NUYV0000,合作金庫商業銀行仁德分行,T,2018-12-21 17:27:06
307230000NUN70000,合作金庫商業銀行軍功分行,T,2018-12-21 17:27:04
307230000NUX30000,合作金庫商業銀行屏南分行,T,2018-12-21 17:27:05
307230000NUZ70000,合作金庫商業銀行萬丹分行,T,2018-12-21 17:27:06
307230000NUE60000,合作金庫商業銀行羅東分行,T,2018-12-21 17:27:02
307230000NUS60000,合作金庫商業銀行精武分行,T,2018-12-21 17:27:04
307230000NUA80000,合作金庫商業銀行士林分行,T,2018-12-21 17:27:02
307230000NUWQ0000,合作金庫商業銀行東基隆分行,T,2018-12-21 17:27:05
307230000NUX60000,合作金庫商業銀行北樹林分行,T,2018-12-21 17:27:05
307230000NUWR0000,合作金庫商業銀行北三峽分行,T,2018-12-21 17:27:05
307230000NUWP0000,合作金庫商業銀行南門分行,T,2018-12-21 17:27:05
307230000NUY40000,合作金庫商業銀行北大里分行,T,2018-12-21 17:27:06
307230000NUC80000,合作金庫商業銀行新莊分行,T,2018-12-21 17:27:02
307230000NUYF0000,合作金庫商業銀行坪林分行,T,2018-12-21 17:27:06
307230000NU920000,合作金庫商業銀行行政管理部,T,2018-12-21 17:27:02
307230000NUV20000,合作金庫商業銀行前鎮分行,T,2018-12-21 17:27:05
307230000NU1C0000,合作金庫商業銀行五股分行,T,2018-12-21 17:27:01
307230000NUWU0000,合作金庫商業銀行北新分行,T,2018-12-21 17:27:05
307230000NUN40000,合作金庫商業銀行大園分行,T,2018-12-21 17:27:04
307230000NUY50000,合作金庫商業銀行東沙鹿分行,T,2018-12-21 17:27:06
307230000NU820000,合作金庫商業銀行人力資源部,T,2018-12-21 17:27:02
307230000NUY60000,合作金庫商業銀行草屯分行,T,2018-12-21 17:27:06
307230000NUB30000,合作金庫商業銀行五洲分行,T,2018-12-21 17:27:02
307230000NUT30000,合作金庫商業銀行成大分行,T,2018-12-21 17:27:04
307230000NUR20000,合作金庫商業銀行朝馬分行,T,2018-12-21 17:27:04
307230000NUWK0000,合作金庫商業銀行大湖分行,T,2018-12-21 17:27:05
307230000NUG10000,合作金庫商業銀行花蓮分行,T,2018-12-21 17:27:03
307230000NUZ10000,合作金庫商業銀行大樹分行,T,2018-12-21 17:27:06
307230000NUK90000,合作金庫商業銀行沙鹿分行,T,2018-12-21 17:27:04
307230000NUT70000,合作金庫商業銀行新興分行,T,2018-12-21 17:27:04
307230000NU300000,合作金庫商業銀行金邊市中心支行,T,2020-06-23 16:56:34
307230000NUWM0000,合作金庫商業銀行國醫中心分行,T,2018-12-21 17:27:05
307230000NUG80000,合作金庫商業銀行仁愛分行,T,2018-12-21 17:27:03
307230000NUXE0000,合作金庫商業銀行新明分行,T,2018-12-21 17:27:05
307230000NUK80000,合作金庫商業銀行豐原分行,T,2018-12-21 17:27:04
307230000NUXU0000,合作金庫商業銀行長庚分行,T,2018-12-21 17:27:05
307230000NUY10000,合作金庫商業銀行北苗栗分行,T,2018-12-21 17:27:06
307230000NUYW1000,合作金庫商業銀行南永康分行,T,2018-12-21 17:27:06
307230000NUX20000,合作金庫商業銀行澎湖分行,T,2018-12-21 17:27:05
307230000NUXI0000,合作金庫商業銀行竹塹分行,T,2018-12-21 17:27:05
307230000NU340000,合作金庫商業銀行永珍分行,T,2020-06-23 16:55:02
307230000NU310000,合作金庫商業銀行營業部,T,2018-12-21 17:27:01
307230000NUWZ0000,合作金庫商業銀行南汐止分行,T,2018-12-21 17:27:05
307230000NUT00000,合作金庫商業銀行臺南分行,T,2018-12-21 17:27:04
307230000NUG00000,合作金庫商業銀行光復分行,T,2018-12-21 17:27:03
307230000NUT10000,合作金庫商業銀行成功分行,T,2018-12-21 17:27:04
307230000NU230000,合作金庫商業銀行金邊菩森芷支行,T,2020-06-23 17:04:05
307230000NUW90000,合作金庫商業銀行屏東分行,T,2018-12-21 17:27:05
307230000NUWC0000,合作金庫商業銀行敦南分行,T,2018-12-21 17:27:05
